,Рентабельность продаж,Рентабельность активов (ROA),Рентабельность капитала (ROE)
1384,1.0,0.0144,0.0645
1385,,,
1386,,,
1387,0.0256,0.0033,0.0527
1388,,,
1389,,,
1390,,,
1391,,,
1392,,,
1393,,,
1394,,,
1395,,,
1396,,,
1397,,,
1398,,,
1399,,,
1400,,,
1401,,,
1402,,,
1403,,,
1404,,,
1405,,,
1406,,,
1407,,,
1408,,,
1409,,,
1410,,,
1411,,,
1412,0.4687,1.3118,2.9933
1413,,,
1414,0.061,0.0168,0.1886
1415,,,
1416,0.0497,-0.0355,-1.5109
1417,,,
1418,,,
1419,,,
1420,,,
1421,0.0045,,
1422,,,
1423,,,
1424,,,
1425,,,
1426,,,
1427,,,
1428,,,
1429,,,
1430,,,
1431,,,
1432,,,
1433,,,
1434,,,
1435,0.0496,0.0114,0.2724
1436,,,
1437,,,
1438,,-218.1818,2.0168
1439,-0.0153,-0.0504,-0.0886
1440,,,
1441,,,
1442,,,
1443,,,
1444,,,
1445,,,
1446,,,
1447,,,
1448,,,
1449,,,
1450,0.0469,0.019,0.0287
1451,,,
1452,,,
1453,,,
1454,,,
1455,,,
1456,,,
1457,0.0373,0.2268,1.6965
1458,,,
1459,,,
1460,,,
1461,0.0304,0.0015,-0.0446
1462,,,
1463,,,
1464,,,
1465,,,
1466,,,
1467,,,
1468,,,
1469,,,
1470,,,
1471,0.0597,0.0121,0.0895
1472,,,
1473,,-0.4138,1.8
1474,,,
1475,,,
1476,,,
1477,,,
1478,,,
1479,,,
1480,,,
1481,,-0.75,-8.1818
1482,-0.147,-0.0042,0.0539
1483,,,
1484,,,
1485,,,
1486,,,
1487,,,
1488,,,
1489,,,
1490,,,
1491,,,
1492,0.1215,0.1997,0.3472
1493,,,
1494,-0.0018,-0.0128,-0.0208
1495,,,
1496,,,
1497,,,
1498,,,
1499,,,
1500,,-0.016,0.1377
1501,,,
1502,,,
1503,,,
1504,,,
1505,-0.0019,-0.004,2.0
1506,,,
1507,,,
1508,,,
1509,,,
1510,,,
1511,0.0707,0.3654,0.5175
1512,0.4733,1.1851,2.0
1513,,,
1514,,,
1515,,,
1516,,,
1517,,,
1518,,,
1519,,,
1520,,,
1521,,,
1522,,,
1523,,,
1524,0.0553,0.0087,0.0182
1525,,,
1526,,,
1527,,-4.7027,-4.7027
