,Период погашения кредиторской задолженности,Период оборота запасов,Период погашения дебиторской задолженности,Период оборота основных средств,Период оборота активов
700,3121.48,2.1,4133.0,,4242.0
701,,,,,
702,,,,,
703,,,,,
704,,,,,
705,,,,,
706,,,,,
707,,,,,
708,,,,,
709,,,,,
710,,,,,
711,,,,,
712,,,,,
713,,,,,
714,,,,,
715,,,,,
716,,,,,
717,,,,,
718,,,,,
719,,,,,
720,,,,,
721,,,,,
722,12.16,0.6,13.0,,16.0
723,,,,,
724,,,,,
725,114.24,74.7,43.0,,118.0
726,2905.43,10.4,2758.0,1.2,2928.0
727,,,,,
728,,,,,
729,,,,,
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,250.89,58.0,217.0,,319.0
735,,,,,
736,649.84,0.5,494.0,18.8,542.0
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,331.97,252.1,545.0,315.9,1134.0
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,529.33,129.3,369.0,1.0,499.0
758,,,,,
759,,,,,
760,,,4989.0,,5246.0
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,301.43,27.6,425.0,,507.0
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,14.56,12.4,8.0,,35.0
796,67.73,55.1,66.0,9.5,147.0
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,1494.19,581.3,902.0,,1484.0
803,135.13,,81.0,,83.0
804,,,,,
805,,,,,
806,31.46,11.6,59.0,41.8,212.0
807,,,,,
808,,,,,
809,,,,,
810,205.26,7.9,192.0,19.5,252.0
811,,,,,
812,,,,,
813,,,,,
814,4.92,2.5,38.0,,43.0
815,,,,,
816,,,,,
817,,,,,
818,49.48,47.1,,1.1,50.0
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,0.33,97.0,34.0,29.3,188.0
826,,,,,
827,,,,,
828,,,,,
829,,,,,
830,,,,,
831,,,,,
832,,,,,
833,255.5,,,,
834,,,,,
835,,,,,
836,,,,,
837,,,,,
838,,,,,
839,,,,,
840,,,,,
841,,,,,
842,,,,,
843,,,,,
844,,,,,
845,,,,,
846,,,,,
847,,,,,
848,,,,,
849,,,,,
850,,,,,
851,,,,,
852,,,,,
853,549.36,5.6,152.0,,753.0
854,,,,,
855,,,,,
856,,,,,
857,,,,,
858,,,,,
859,48.68,,1061.0,909.3,2776.0
860,,,,,
861,,,,,
862,,,,,
863,342.89,62.1,260.0,45.5,407.0
864,26.47,21.3,42.0,8.6,95.0
865,,,,,
866,,,,,
867,,,,,
868,,,,,
869,,,,,
870,122.19,8.0,49.0,42.8,375.0
871,,,,,
872,,,,,
873,13.46,,2.0,,43.0
874,,,,,
875,,,,,
876,,,,,
877,,,,,
878,,,,,
879,,,,,
880,110.23,132.3,155.0,48.7,342.0
881,234.46,41.0,200.0,,268.0
882,558.84,33.0,512.0,,557.0
883,,,,,
884,,,,,
885,,,,,
886,222.91,39.4,166.0,,206.0
887,260.53,83.7,128.0,35.0,256.0
888,,,,,
889,,,,,
890,179.4,8.5,120.0,,130.0
891,,,,,
892,,,,,
893,,,,,
894,185.13,17.1,118.0,82.3,230.0
895,,,,,
896,,,,,
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,,,,,
903,39.64,35.7,7.0,4.6,55.0
904,,,,,
905,,,,,
906,,,,,
907,,,,,
908,199.09,,,,
909,,,,,
910,,,,,
911,,,,,
912,,,,,
913,,,,,
914,,,,,
915,,,,,
916,,,,,
917,,,,,
918,,,,,
919,245.85,1.5,216.0,23.0,290.0
920,,,,,
921,,,,,
922,,,,,
923,,,,,
924,,,,,
925,,,,,
926,,,,,
927,,,,,
928,,,,,
929,,,,,
930,,,,,
931,49709.89,,748214.0,,752064.0
932,,,,,
933,,,,,
934,146.0,,,,
935,105.62,67.8,43.0,8.5,122.0
936,,,,,
937,,,,,
938,,,,,
939,,,,,
940,,,,,
941,,,,,
942,23.37,,6.0,0.6,32.0
943,,,,,
944,,,,,
945,,,,,
946,,,,,
947,,,,,
948,,,,,
949,,,,,
950,,,,,
951,,,,,
952,,,,,
953,,,,,
954,,,,,
955,,,,,
956,,,,,
957,,,,,
958,,,,,
959,,,,,
960,,,,,
961,,,,,
962,,,,,
963,,,,,
964,,,,,
965,,,,,
966,176.88,53.1,145.0,0.3,211.0
967,474.25,6.9,209.0,,220.0
968,,,,,
969,34.27,27.3,71.0,,99.0
970,602.01,194.5,446.0,,645.0
971,,,,,
972,,,,,
973,,,,,
974,,,,,
975,,,,,
976,,,,,
977,,,,,
978,5.59,,2.0,3.7,18.0
979,487.15,,455.0,,517.0
980,1.17,,2.0,,180.0
981,393.18,33.4,106.0,,371.0
982,,,,,
983,,,,,
984,,,,,
985,,,,,
986,,,,,
987,,,,,
988,,,,,
989,,,,,
990,,,,,
991,,,,,
992,,,,,
993,,,,,
994,,,,,
995,,,,,
996,,,,,
997,,,,,
998,,,,,
999,,,,,
1000,,,,,
1001,,,,,
1002,,,,,
1003,306.15,26.4,797.0,13.1,982.0
1004,200.53,32.5,86.0,,136.0
1005,,,,,
1006,,,,,
1007,9.47,,4.0,,14.0
1008,,,,,
1009,,,,,
1010,,,,,
1011,,,,,
1012,,,,,
1013,,,,,
1014,,,,,
1015,,,,,
1016,,,,,
1017,37.23,,9.0,24.2,35.0
1018,,,,,
1019,,,,,
1020,,,,,
1021,,,,,
1022,,,,,
1023,,,,,
1024,2.59,6.4,2.0,,10.0
1025,,,,,
1026,91.25,,,,
1027,,,,,
1028,,,,,
1029,,,,,
1030,,,,,
1031,,,,,
1032,,,,,
1033,323.7,173.5,200.0,,390.0
1034,,,,,
1035,,,,,
1036,,,,,
1037,3082.58,9.6,80.0,57.2,160.0
1038,11.68,,,,
1039,26.18,8.4,1.0,,31.0
1040,95.35,19.3,108.0,1.5,131.0
1041,,,,,
1042,196.06,91.2,112.0,,214.0
1043,,,,,
1044,,,,,
1045,,,,,
1046,,,,,
1047,,,,,
1048,8.99,,22.0,,47.0
1049,,,,,
1050,,,,,
1051,,,,,
1052,,,,,
1053,63.63,1.3,39.0,,81.0
1054,,,,,
1055,,,,,
1056,,,,,
1057,,,,,
1058,,,,,
1059,,,,,
1060,,,,,
1061,,,,,
1062,,,,,
