,Доходы,Расходы,Расходы,Валовая прибыль (убыток),Коммерческие расходы,Управленческие расходы,Прибыль (убыток) от продажи,Чистая прибыль (убыток)
728,,,,,,,,
729,,,,,,,,
730,,,,,,,,
731,,,,,,,,
732,,,,,,,,
733,,,,,,,,
734,,,,342000.0,,1570000.0,-1228000.0,86000.0
735,,,,,,,,
736,,,,72244000.0,,104852000.0,-32608000.0,9832000.0
737,,,,,,,,
738,,,,,,,,
739,,,,,,,,
740,,,,,,,,
741,,,,,,,,
742,,,,,,,,
743,,,,,,,,
744,,,,,,,,
745,,,,,,,,
746,,,,,,,,
747,,,,,,,,
748,,,,,,,1979000.0,131000.0
749,,,,,,,,
750,,,,,,,,
751,,,,,,,,
752,,,,,,,,
753,,,,,,,,
754,,,,,,,,
755,,,,,,,,
756,,,,,,,,
757,,,,,,,-197000.0,-23238000.0
758,,,,,,,,
759,,,,,,,,
760,,,,342000.0,,329000.0,13000.0,15000.0
761,,,,,,,,
762,,,,,,,,-627000.0
763,,,,,,,,
764,,,,,,,,
765,,,,,,,,
766,,,,108000.0,,100000.0,8000.0,
767,,,,,,,,
768,,,,,,,,
769,,,,,,,,
770,,,,,,,,
771,,,,,,,,
772,,,,,,,,
773,,,,,,,,
774,,,,,,,,
775,,,,,,,,
776,,,,,,,,
777,,,,,,,,
778,,,,,,,,
779,,,,,,,,
780,,,,,,,,
781,,,,,,,,
782,,,,,,,,
783,,,,,,,,
784,,,,,,,,
785,,,,,,,,
786,,,,,,,,
787,,,,,,,,
788,,,,,,,,
789,,,,,,,,
790,,,,,,,,
791,,,,,,,,
792,,,,,,,,
793,,,,,,,,
794,,,,,,,,
795,,,,,,,968000.0,708000.0
796,,,,,,,5010000.0,3459000.0
797,,,,,,,,
798,,,,,,,,
799,,,,,,,,
800,,,,,,,,
801,,,,,,,,
802,,,,,,,25000.0,7000.0
803,,,,,,,190000.0,166000.0
804,,,,,,,,
805,,,,,,,,
806,,,,,,,21069000.0,16291000.0
807,,,,,,,,
808,,,,,,,,
809,,,,,,,,
810,,,,,,,-122000.0,-707000.0
811,,,,,,,,
812,,,,,,,,
813,,,,,,,,
814,,,,1381000.0,,684000.0,697000.0,400000.0
815,,,,,,,,
816,,,,,,,,
817,,,,,,,,
818,,,,90000.0,,,90000.0,63000.0
819,,,,,,,,
820,,,,,,,,
821,,,,,,,,
822,,,,,,,,
823,,,,,,,,
824,,,,,,,,
825,,,,,,,1870000.0,1721000.0
826,,,,,,,,
827,,,,,,,,
828,,,,,,,,
829,,,,,,,,
830,,,,,,,,
831,,,,,,,,
832,,,,,,,,
833,,,,,,,-5000.0,-5000.0
834,,,,,,,,
835,,,,,,,,
836,,,,,,,,
837,,,,,,,,
838,,,,,,,,
839,,,,,,,,
840,,,,,,,,
841,,,,,,,,
842,,,,,,,,
843,,,,,,,,
844,,,,,,,,
845,,,,,,,,
846,,,,,,,,
847,,,,,,,,
848,,,,,,,,
849,,,,,,,,
850,,,,,,,,
851,,,,,,,,
852,,,,,,,,
853,,,,196000.0,,182000.0,14000.0,4000.0
854,,,,,,,,
855,,,,,,,,
856,,,,,,,,
857,,,,,,,,
858,,,,,,,,
859,,,,,,,-996000.0,-900000.0
860,,,,,,,,
861,,,,,,,,
862,,,,,,,,
863,,,,,,,-2221000.0,3041000.0
864,,,,,,,11084000.0,8443000.0
865,,,,,,,,
866,,,,,,,,
867,,,,,,,,
868,,,,,,,,
869,,,,,,,,
870,,,,,,,2003000.0,3108000.0
871,,,,,,,,
872,,,,,,,,
873,,,,6734000.0,,,6734000.0,2484000.0
874,,,,,,,,
875,,,,,,,,
876,,,,,,,,
877,,,,,,,,
878,,,,,,,,
879,,,,,,,,
880,,,,,,,351000.0,184000.0
881,,,,1489000.0,,702000.0,787000.0,450000.0
882,,,,,,,315000.0,228000.0
883,,,,,,,,
884,,,,,,,,
885,,,,,,,,
886,,,,,,,-222000.0,-259000.0
887,,,,7268000.0,,11610000.0,-4342000.0,447000.0
888,,,,,,,,
889,,,,,,,,
890,,,,3967000.0,,3831000.0,136000.0,98000.0
891,,,,,,,,
892,,,,,,,,
893,,,,,,,,
894,,,,,,,-755000.0,208000.0
895,,,,,,,,
896,,,,,,,,
897,,,,,,,,
898,,,,,,,,
899,,,,,,,,
900,,,,,,,,
901,,,,,,,,
902,,,,,,,,
903,,,,4417000.0,,2921000.0,1496000.0,929000.0
904,,,,,,,,
905,,,,,,,,
906,,,,,,,,
907,,,,,,,,
908,,,,,,,-66000.0,-66000.0
909,,,,,,,,
910,,,,,,,,
911,,,,,,,,
912,,,,,,,,
913,,,,,,,,
914,,,,,,,,
915,,,,,,,,
916,,,,,,,,
917,,,,,,,,
918,,,,,,,,
919,,,,,,,1086000.0,1256000.0
920,,,,,,,,
921,,,,,,,,
922,,,,,,,,
923,,,,,,,,
924,,,,,,,,
925,,,,,,,,
926,,,,,,,,
927,,,,,,,,
928,,,,,,,,
929,,,,,,,,
930,,,,,,,,
931,,,,,,,-37000.0,-115000.0
932,,,,,,,,
933,,,,,,,,
934,,,,,,,-5000.0,37000.0
935,,,,6489000.0,,5009000.0,1480000.0,726000.0
936,,,,,,,,
937,,,,,,,,
938,,,,,,,,
939,,,,,,,,
940,,,,,,,,
