,Коэффициент текущей ликвидности,Коэффициент быстрой ликвидности,Коэффициент абсолютной ликвидности
1026,18.0,18.0,4.0
1027,,,
1028,,,
1029,,,
1030,,,
1031,,,
1032,,,
1033,1.0316,0.5748,0.0028
1034,,,
1035,,,
1036,,,
1037,1.0202,0.8674,0.1102
1038,0.4104,0.4104,0.0012
1039,1.5,1.2336,1.1659
1040,1.0024,0.8863,0.0002
1041,,,
1042,1.1426,0.57,0.0386
1043,,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,1.9906,1.9906,1.2285
1049,,,
1050,,,
1051,,,
1052,,,
1053,1.3112,1.3112,0.7318
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,,,
1063,,,
1064,,,
1065,,,
1066,0.2231,0.1434,0.0929
1067,,,
1068,,,
1069,,,
1070,,,
1071,,,
1072,,,
1073,1.8956,1.5203,0.2061
1074,,,
1075,3.5556,2.9739,0.0556
1076,,,
1077,,,
1078,2.292,2.292,
1079,,,
1080,0.8963,0.8963,0.5549
1081,,,
1082,1.0067,0.154,0.0126
1083,1.1674,0.8323,0.7022
1084,,,
1085,,,
1086,,,
1087,,,
1088,6.4484,4.0955,0.0185
1089,,,
1090,,,
1091,1.1,1.1,1.0947
1092,2.6474,0.6501,0.1356
1093,,,
1094,,,
1095,,,
1096,,,
1097,,,
1098,50.6522,50.6522,2.8696
1099,,,
1100,,,
1101,,,
1102,,,
1103,,,
1104,,,
1105,,,
1106,,,
1107,1.2585,0.9184,
1108,,,
1109,1.0513,0.1614,
1110,,,
1111,1.0299,0.6566,0.3992
1112,,,
1113,,,
1114,,,
1115,8.7443,8.5696,0.1521
1116,5.3772,1.2708,0.0539
1117,1.1059,1.0987,0.1653
1118,,,
1119,,,
1120,,,
1121,1.5285,1.5032,0.1388
1122,,,
1123,,,
1124,,,
1125,,,
1126,,,
1127,,,
1128,,,
1129,0.8313,0.3621,0.0082
1130,,,
1131,,,
1132,,,
1133,13.6993,13.6993,0.0707
1134,,,
1135,1.3031,0.8138,
1136,,,
1137,,,
1138,,,
1139,1.3845,1.3845,0.7089
1140,,,
1141,,,
1142,73.1667,23.0,
1143,,,
1144,,,
1145,,,
1146,1.556,1.554,0.176
1147,,,
1148,,,
1149,,,
1150,,,
1151,,,
1152,,,
1153,,,
1154,1.0665,0.799,0.1106
1155,,,
1156,0.6963,0.3823,0.1753
1157,1.0031,0.4718,0.0012
1158,,,
1159,,,
1160,,,
1161,,,
1162,,,
1163,,,
1164,,,
1165,,,
1166,1.089,0.8287,0.0108
1167,,,
1168,,,
1169,,,
1170,0.3664,0.3664,0.0323
1171,,,
1172,,,
1173,2.4404,2.4404,0.1121
1174,,,
1175,,,
1176,,,
1177,,,
1178,,,
1179,,,
1180,,,
1181,,,
1182,,,
1183,,,
1184,0.9996,0.6982,0.0304
1185,,,
1186,,,
1187,1.4504,1.0013,0.0694
1188,,,
1189,,,
1190,,,
1191,,,
1192,,,
1193,,,
1194,,,
1195,,,
1196,0.0126,0.0126,0.0126
1197,,,
1198,1.0427,1.0255,0.0841
1199,2.4183,2.4183,0.077
1200,,,
1201,,,
1202,,,
1203,,,
1204,,,
1205,,,
1206,,,
1207,,,
1208,,,
1209,1.368,0.601,0.0396
1210,,,
1211,,,
1212,1.7143,0.881,0.8095
1213,,,
1214,,,
1215,,,
1216,,,
1217,,,
1218,12.9474,12.6842,0.0526
1219,,,
1220,,,
1221,1.0048,0.944,0.1757
1222,,,
1223,,,
1224,1.5492,1.5492,0.9799
1225,,,
1226,,,
1227,,,
1228,,,
1229,,,
1230,,,
1231,,,
1232,,,
1233,1.0901,0.3592,0.0034
1234,,,
1235,,,
1236,1.0684,0.8119,0.0019
1237,4.1339,2.9559,0.9492
1238,,,
1239,,,
1240,1.0413,0.3925,0.0007
1241,,,
1242,0.9228,0.9227,0.0046
1243,12.2838,12.2838,0.0235
1244,,,
1245,,,
1246,,,
1247,,,
1248,,,
1249,,,
1250,,,
1251,,,
1252,,,
1253,,,
1254,14.812,14.812,12.9286
1255,,,
1256,,,
1257,,,
1258,,,
1259,1.1756,1.0739,0.2212
1260,,,
1261,,,
1262,1.325,1.1847,0.561
1263,,,
1264,,,
1265,,,
1266,,,
1267,,,
1268,0.8393,0.3106,0.0049
1269,,,
1270,,,
1271,,,
1272,0.6245,0.3564,0.0017
1273,,,
1274,,,
1275,5.5459,5.5459,0.001
1276,2.5517,0.8279,0.4684
1277,2.086,1.2569,0.0018
1278,,,
1279,,,
1280,1.035,1.035,0.0023
1281,,,
1282,1.0176,0.3299,0.0612
1283,,,
1284,12.801,11.7251,
1285,,,
1286,,,
1287,,,
1288,,,
1289,,,
1290,,,
1291,,,
1292,,,
1293,,,
1294,0.9859,0.8882,0.0057
1295,,,
1296,2.551,1.3749,
1297,,,
1298,0.0557,0.0557,0.0012
1299,1.4584,1.4359,1.206
1300,,,
1301,1.5095,0.6244,0.4864
1302,,,
1303,,,
1304,,,
1305,1.0057,1.0057,0.0163
1306,2.2712,2.193,0.0058
1307,,,
1308,,,
1309,,,
1310,,,
1311,,,
1312,,,
1313,,,
1314,,,
1315,,,
1316,,,
1317,,,
1318,,,
1319,0.6742,0.655,0.0008
1320,,,
1321,,,
1322,,,
1323,,,
1324,,,
1325,,,
1326,1.3279,1.3277,0.9929
1327,,,
1328,,,
1329,3.4177,3.4177,1.5823
1330,,,
1331,1.2405,1.2152,0.0886
1332,,,
1333,,,
1334,,,
1335,,,
1336,,,
1337,,,
1338,,,
1339,,,
1340,0.2103,0.2103,0.0056
1341,,,
1342,,,
1343,,,
1344,,,
1345,,,
1346,,,
1347,,,
1348,,,
1349,,,
1350,1.1916,0.9752,0.0885
1351,,,
1352,8.5,3.2778,1.7222
1353,4.0041,2.5957,0.0113
1354,,,
1355,,,
1356,,,
1357,,,
1358,,,
1359,,,
1360,1.6566,1.5439,0.6449
1361,,,
1362,,,
1363,,,
1364,,,
1365,,,
1366,,,
1367,,,
1368,,,
1369,,,
1370,,,
1371,,,
1372,1.8454,0.6188,0.022
1373,,,
1374,,,
1375,,,
1376,,,
1377,,,
1378,0.7545,0.7545,0.0081
1379,,,
1380,,,
1381,,,
1382,,,
1383,,,
1384,1.2604,0.2684,
1385,,,
1386,,,
1387,0.533,0.4806,0.0122
1388,,,
1389,,,
1390,,,
1391,,,
1392,,,
1393,,,
1394,,,
1395,,,
1396,,,
1397,,,
1398,,,
1399,,,
1400,,,
1401,,,
1402,,,
1403,,,
1404,,,
1405,,,
1406,,,
1407,,,
1408,0.1234,0.1234,0.0004
1409,,,
1410,,,
1411,,,
1412,11.3784,11.3784,9.1622
1413,,,
1414,1.0828,0.8764,0.0122
1415,,,
1416,0.9657,0.8569,0.0101
1417,,,
1418,,,
1419,,,
1420,,,
1421,1.0169,0.413,0.2077
1422,,,
1423,,,
1424,,,
1425,,,
1426,,,
1427,,,
1428,,,
1429,,,
1430,,,
1431,,,
1432,,,
1433,,,
1434,,,
1435,1.0472,1.023,0.0001
1436,,,
1437,,,
1438,0.0252,0.0252,0.0069
1439,2.6919,2.3131,0.3939
1440,,,
1441,,,
1442,,,
1443,,,
1444,,,
1445,,,
1446,,,
1447,,,
1448,,,
1449,,,
1450,2.3274,1.7197,1.0983
1451,,,
1452,,,
1453,,,
1454,,,
1455,,,
1456,,,
1457,1.2442,1.2441,1.0646
1458,,,
1459,,,
1460,,,
1461,0.9677,0.902,0.0042
1462,,,
1463,,,
1464,,,
1465,,,
1466,,,
1467,,,
1468,,,
1469,,,
1470,,,
1471,1.0942,0.8974,0.1286
1472,,,
1473,0.646,0.6372,0.6372
1474,,,
1475,,,
1476,,,
1477,,,
1478,,,
1479,83.2292,31.6042,0.75
1480,,,
1481,2.1786,2.1786,0.3929
1482,0.8505,0.5725,
1483,,,
1484,,,
1485,,,
1486,,,
1487,,,
1488,,,
1489,,,
1490,,,
1491,,,
1492,3.7302,3.6172,3.456
1493,,,
1494,1.5022,1.3501,0.0778
1495,,,
1496,,,
1497,,,
1498,,,
1499,,,
1500,,,
1501,,,
1502,,,
1503,,,
1504,,,
1505,0.998,0.998,-0.0001
1506,,,
1507,,,
1508,,,
1509,,,
1510,,,
1511,2.1993,1.7438,1.4982
1512,1.5288,0.7779,0.0598
1513,,,
1514,,,
1515,,,
1516,,,
1517,,,
1518,,,
1519,6.0,6.0,
1520,,,
1521,,,
1522,,,
1523,,,
1524,3.5514,1.3195,0.558
1525,,,
1526,,,
1527,,,
1528,1.0127,0.7541,
1529,,,
1530,,,
1531,,,
1532,,,
1533,,,
1534,,,
1535,1.0274,1.0274,
1536,1.0356,0.2372,
1537,,,
1538,,,
1539,0.0117,0.0117,0.0011
1540,2.588,2.588,0.3981
1541,,,
1542,,,
1543,,,
1544,,,
1545,,,
1546,,,
1547,,,
1548,,,
1549,0.2055,0.1554,0.1457
1550,1.0089,0.2711,0.0127
1551,,,
1552,1.0638,1.0638,0.3786
1553,,,
1554,,,
1555,3.8895,3.8895,2.4333
1556,,,
1557,,,
1558,,,
1559,,,
1560,,,
1561,0.7902,0.7902,0.0131
1562,,,
1563,,,
1564,,,
1565,1.1301,0.09,0.0028
1566,,,
1567,1.0013,1.0013,
1568,,,
1569,,,
1570,,,
1571,81.6984,81.6984,34.5238
1572,1.4012,0.7535,0.3221
1573,,,
1574,,,
1575,30.5531,30.5531,23.2256
1576,,,
1577,,,
1578,,,
1579,,,
1580,,,
1581,,,
1582,,,
1583,,,
1584,,,
1585,,,
1586,,,
1587,1.1236,0.3996,0.0148
1588,,,
1589,,,
1590,,,
1591,,,
1592,,,
1593,,,
1594,,,
1595,,,
1596,1.1537,0.4437,0.0184
1597,,,
1598,,,
1599,,,
1600,,,
1601,,,
1602,,,
1603,145.1111,144.7037,0.8889
1604,,,
1605,1.1403,0.8961,0.6987
1606,,,
1607,,,
1608,,,
1609,,,
1610,,,
1611,,,
1612,,,
1613,,,
1614,,,
1615,,,
1616,,,
1617,0.3678,0.3625,0.0344
1618,,,
1619,,,
1620,,,
1621,,,
1622,,,
1623,,,
1624,1.1633,1.1632,0.0499
1625,,,
1626,,,
1627,,,
1628,,,
1629,,,
1630,,,
1631,,,
1632,,,
1633,0.2008,0.0269,0.0027
1634,3.4286,2.9143,0.8571
1635,1.2117,1.0705,0.0957
1636,,,
1637,,,
1638,,,
1639,,,
1640,,,
1641,,,
1642,,,
1643,,,
1644,,,
1645,,,
1646,,,
1647,,,
1648,,,
1649,,,
1650,1.2747,1.2747,0.073
1651,,,
1652,2.8958,2.7569,0.6468
1653,,,
1654,,,
1655,,,
1656,,,
1657,,,
1658,,,
1659,,,
1660,,,
1661,,,
1662,,,
1663,3.2934,3.2934,0.0077
1664,,,
1665,,,
1666,,,
1667,1.0031,0.7,0.0001
1668,0.7085,0.7122,0.1661
1669,,,
1670,,,
1671,,,
1672,5.5695,3.9966,0.0034
1673,,,
1674,,,
1675,,,
1676,,,
1677,,,
1678,,,
1679,0.08,0.08,0.04
1680,,,
1681,,,
1682,1.6637,1.2133,0.1202
1683,,,
1684,,,
1685,0.1836,0.1836,0.0076
1686,,,
1687,,,
1688,1.0278,0.5909,0.006
1689,3.1849,2.3872,0.4326
1690,,,
1691,,,
1692,1.3556,1.3556,0.5943
1693,,,
1694,,,
1695,,,
1696,2.904,2.904,
1697,0.0732,0.0732,
1698,,,
1699,,,
1700,8.8411,8.8309,0.4891
1701,,,
1702,,,
1703,,,
1704,0.9627,0.7193,0.0815
1705,,,
1706,,,
1707,,,
1708,,,
1709,,,
1710,0.9746,0.9746,0.1508
1711,,,
1712,,,
1713,,,
1714,1.4011,1.4011,0.2906
1715,,,
1716,,,
1717,,,
1718,,,
1719,,,
1720,,,
1721,,,
1722,,,
1723,,,
1724,,,
1725,,,
1726,,,
1727,,,
1728,,,
1729,,,
1730,,,
1731,1.0883,1.025,0.0003
1732,,,
1733,,,
1734,,,
1735,,,
1736,,,
1737,,,
1738,,,
1739,1.6796,1.6796,0.9411
1740,,,
1741,,,
1742,,,
1743,,,
1744,,,
1745,,,
1746,,,
1747,0.0972,0.0077,0.0043
1748,1.0459,1.0314,0.0056
1749,,,
1750,,,
1751,,,
1752,,,
1753,,,
1754,,,
1755,,,
1756,,,
1757,,,
1758,,,
1759,,,
1760,,,
1761,1.0023,0.5254,0.1711
1762,,,
1763,,,
1764,,,
